title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link
Tội Ác Và Hình Phạt (Tái bản năm 2024),Fyodor Dostoevsky,319200,319200,41.0,Tác phẩm kinh điển,6,5.0,728.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/bb/f7/f3/a8c025840991ad023ed272d36968d97f.jpg
Nhà Quản Trị Hiệu Quả,Peter F. Drucker,185000,120250,92.0,"Sách quản trị, lãnh đạo",0,0.0,320.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/1e/e0/cc/0769a784be434091085ec8fb8602ec9c.jpg
Combo Gánh gánh... Gồng gồng - Khắc đi... Khắc đến (Hồi ký Xuân Phượng),Xuân Phượng,310000,279000,19.0,Tiểu sử - Hồi ký,2,5.0,563.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/05/21/78/b7f884ab7d2310870bd84d52ac5a6451.jpg
25 Độ Âm,Thảo Trang,158000,110600,664.0,Tiểu Thuyết,83,4.8,250.0,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/11/65/b9/99b164274055bd509807e699fd5202cd.jpg
Bắt trẻ đồng xanh,J. D. Salinger,100000,70000,209.0,Tác phẩm kinh điển,9,5.0,328.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/13/5b/ae/696a6e91d7b32946dc936c5ca5c9f8ff.jpg
Sao chúng ta lại ngủ - Why We Sleep (Tái bản),Matthew Walker PhD,249000,186750,122.0,Sách tư duy - Kỹ năng sống,4,5.0,488.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/8d/b0/dc/e5309402b6d3be8ab3a0399911888396.png
IELTS Writing Journey - From Basics To Band 6.0,Nguyễn Thị Thu Trang,198000,128700,949.0,Sách Học Tiếng Anh,67,5.0,268.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/2c/15/fc/fad4e7d100e859db6a6dfd13c820cdf0.jpg
Bẫy hạnh phúc,Russ Harris,239000,163000,525.0,Lĩnh vực khác,26,4.8,412.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/9c/43/33/b1d4e6e7157dc5cd064176b780f02e14.jpg
Khéo Ăn Nói Bán Hàng Thành Công (Bìa Mềm),Bích Phương,71400,65625,241.0,Sách kỹ năng làm việc,15,5.0,344.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/d9/00/98/33f7a75f9fcd863a3c736077b24acd30.png
Agatha Christie. Bộ Tứ,Agatha Christie,120000,72000,410.0,Tiểu Thuyết,43,5.0,190.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/0c/9d/7d/bde9b5410dd59bd3899e64275fdfca49.jpg
Một Nghệ Thuật Sống,Nguyễn Duy Cần,75000,47000,241.0,Sách kỹ năng mềm,13,4.8,118.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/73/b6/8b/41d87f1b2bc1f883f03609ad9cc13148.jpg
Luật Hấp Dẫn - Quy Luật Về Sức Mạnh Tâm Trí Và Phát Huy Năng Lượng Tích Cực Để Làm Chủ Định Mệnh,Prentice Mulford,139000,87570,2662.0,Sách tư duy - Kỹ năng sống,194,4.7,272.0,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/d9/0b/26/06d8e36efba1f56557a5f8d5bdff6216.jpg
Sách Bí Mật Của May Mắn (Khổ Lớn) (Tái Bản),Alex Rovira,68000,51000,5453.0,Sách kỹ năng mềm,539,4.8,152.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/22/ee/eb/830dd1e2544022d14537a19d56c8ec4a.png
Tìm Bình Yên Trong Gia Đình (Tái Bản),Thích Nhất Hạnh,99000,69300,2615.0,Sách kỹ năng mềm,194,5.0,302.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/9a/8d/24/559a2e2c5ce2e40c37c800d94fea0b48.jpg
Ba Quy Luật Của Hiệu Quả (Tái Bản),Steve Zaffron,149000,103000,156.0,Sách tư duy - Kỹ năng sống,4,5.0,320.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/36/f6/63/082ebd144956545ef1c56a2604a67655.jpg
22 Quy Luật Bất Biến Trong Marketing,Jack Trout,78000,58500,1696.0,Sách Marketing - Bán hàng ,105,4.8,183.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/1f/97/93/14d7dcebd64db9e88b6467a89cd73b56.jpg
Trên Đỉnh Phố Wall (Tái bản 2021),John Rothchild,219000,150000,1006.0,Bài học kinh doanh,117,5.0,572.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/6e/3c/5a/909fca6c88bb1069606cadab4ec6637d.png
Thuật Yêu Đương (Tái Bản),Nguyễn Duy Cần,120000,74000,1815.0,Sách giáo dục,222,5.0,336.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/4e/53/1a/84df5a833a7bdea95b95af1bf50a1a66.png
"Nghệ Thuật Tập Trung - Nâng Cao Năng Suất, Tối Ưu Thời Gian, Hiệu Quả Bất Ngờ",Nhà tâm thần học DaiGo,99000,66330,10682.0,Sách tư duy - Kỹ năng sống,1767,4.8,208.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/36/5e/db/416623ccbec4da6e8e0b095fdda11c7a.jpg
